"id";"itemID";"filename";"title";"titleAttribute";"hits"
"79";"765";"277_1_2011022823.pdf";"Fact Sheet";"277_1_2011022823.pdf";"37"
"80";"829";"283_1_2011040514.pdf";"Fact Sheet";"283_1_2011040514.pdf";"51"
"81";"767";"1867_Greentree_Road.pdf";"Fact Sheet";"1867_Greentree_Road.pdf";"84"
"82";"830";"285_1_2011032855.pdf";"Fact Sheet";"285_1_2011032855.pdf";"250"
"267";"768";"100_N_Black_Horse_Pike_Williamstown.pdf";"Fact Sheet";"100_N_Black_Horse_Pike_Williamstown.pdf";"582"
"422";"1180";"Pine_Hill_Lots_1.pdf";"Fact Sheet";"Pine_Hill_Lots_1.pdf";"187"
"85";"771";"294_1_2011050359.pdf";"Fact Sheet";"294_1_2011050359.pdf";"70"
"86";"772";"295_1_2011050528.pdf";"Fact Sheet";"295_1_2011050528.pdf";"682"
"87";"773";"297_1_2011051235.pdf";"Fact Sheet";"297_1_2011051235.pdf";"764"
"88";"774";"299_1_2011060648.pdf";"Fact Sheet";"299_1_2011060648.pdf";"6"
"89";"775";"300_1_t_2011081617.pdf";"Fact Sheet";"300_1_t_2011081617.pdf";"88"
"90";"777";"999_Route_73.pdf";"Fact Sheet";"999_Route_73.pdf";"233"
"91";"969";"26_32_South_Broad_Street.pdf";"Fact Sheet";"26_32_South_Broad_Street.pdf";"92"
"92";"964";"219_South_Burnt_Mill_Road_good.pdf";"Fact Sheet";"219_South_Burnt_Mill_Road_good.pdf";"366"
"373";"968";"400-402_Landing_Road.pdf";"Fact Sheet";"400-402_Landing_Road.pdf";"361"
"94";"970";"211_Haddonfield_Berlin_Rd.pdf";"Fact Sheet";"211_Haddonfield_Berlin_Rd.pdf";"373"
"95";"849";"115_East_Third_Street.pdf";"Fact Sheet";"115_East_Third_Street.pdf";"669"
"96";"730";"Voorhees_Town_Center2.pdf";"Fact Sheet";"Voorhees_Town_Center2.pdf";"726"
"97";"737";"Drexel_University_Medical.pdf";"Fact Sheet";"Drexel_University_Medical.pdf";"62"
"98";"845";"446_Salem_Street.pdf";"Fact Sheet";"446_Salem_Street.pdf";"619"
