"64";"842";"DEFAULT UNIT";"10000.00";"270000.00";"inclusive";"4.00";"sqft";;;"nnn";"0.00";"sqft";;"7100";"0.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: , Lot:,";;;"0.00";"1"
"65";"843";"DEFAULT UNIT";"31690.00";"995000.00";"inclusive";"4.00";"sqft";;;"nnn";"0.00";"sqft";;"33240";"800.00";"8.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 800.00, Lot:,8.00";;"Three (3) tailgates; Three (3) drive-in doors";"0.00";"1"
"66";"760";"DEFAULT UNIT";"2200.00";"279000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"7000";"0.00";"0.00";"0.00";;;"0.00";"10 +/- plus 2 1/2 car garage";;"0.00";;;"0";"Block: , Lot:,";;;"0.00";"1"
"67";"844";"DEFAULT UNIT";"44280.00";"725000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"125.00";"7.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 125.00, Lot:,7.00";;;"0.00";"1"
"69";"762";"DEFAULT UNIT";"2385.00";"0.00";"inclusive";"19.00";"sqft";;;;"0.00";"sqft";;;"117.00";"1.00";"0.00";;;"0.00";"5:1000";;"0.00";;;"0";"Block: 117, Lot:,1";"Immediate";;"0.00";"1"
"70";"763";"DEFAULT UNIT";"3200.00";"0.00";"call";"18.00";"sqft";;;"utilities";"0.00";"sqft";;"16585";"101.00";"1.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 101.00, Lot:,1.00";"Immediate";;"0.00";"1"
"71";"845";"DEFAULT UNIT";"22847.00";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"18000";"1204.00";"0.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 1204.00, Lot:,0.00";"Immediate";;"0.00";"1"
"72";"824";"DEFAULT UNIT";"36500.00";"800000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"44000";"22.00";"4.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 22, Lot:,4";"Immediate";;"0.00";"1"
"73";"846";"DEFAULT UNIT";"8000.00";"0.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"7000";"18.00";"10.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 18.00, Lot:,10.00";"Immediate";;"0.00";"1"
"74";"825";"DEFAULT UNIT";"1200.00";"0.00";"inclusive";"16.00";"sqft";;;;"0.00";"sqft";;;"0.00";"0.00";"0.00";;;"0.00";"65+ spaces ";;"0.00";"End Cap";;"0";"Block: , Lot:,";"Immediate";;"0.00";"1"
"75";"764";"Unit A";"1943.00";"495000.00";"inclusive";"14.00";"sqft";;;"condo";"1154.00";"month";;;"199.00";"4.00";"0.00";;"300 SF garage";"0.00";"23 spaces";;"0.00";;;"0";"Block: 199, Lot:,4";;;"0.00";"1"
"76";"765";"DEFAULT UNIT";"12512.00";"1750000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"33915";"3201.00";"1.00";"0.00";;;"0.00";"60 +/- cars";;"0.00";;;"0";"Block: 3201, Lot:,1";"Immediate";;"0.00";"1"
"77";"827";"DEFAULT UNIT";"3000.00";"600000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;;"284.00";"4.00";"0.00";;;"0.00";"20+ spaces";;"0.00";;;"0";"Block: 284.02, Lot:,4";"Immediate";;"0.00";"1"
"78";"766";"DEFAULT UNIT";"1888.00";"120000.00";"inclusive";"0.00";"sqft";;;;"0.00";"sqft";;"4077";"230.00";"46.00";"0.00";;;"0.00";;;"0.00";;;"0";"Block: 230.00, Lot:,46.00";"Immediate";;;"1"
