"345";"1138";"Suite 204";"2228"
"346";"1138";"Suite 208";"1452"
"347";"1139";"Pad Site";
"349";"1141";"DEFAULT_UNIT";
"350";"972";"Unit B3";"878"
"351";"972";"Unit B7";"655"
"353";"1142";"Office Area";"10000"
"354";"1142";"Warehouse";"55000"
"355";"1143";"DEFAULT_UNIT";"1611"
"356";"1145";"DEFAULT_UNIT";
"357";"1146";"DEFAULT_UNIT";"10500"
"358";"1147";"DEFAULT_UNIT";"6800"
"359";"1148";"DEFAULT_UNIT";"21000"
"360";"1149";"DEFAULT_UNIT";"2667-15378"
"361";"1150";"DEFAULT_UNIT";"3108"
"362";"1151";"1st Floor Retail";"5760"
"363";"1151";"2nd & 3rd Floors";"11520"
"364";"959";"LL-1";"708"
"366";"959";"403";"675"
"367";"1152";"DEFAULT_UNIT";"20000"
"368";"1152";"DEFAULT_UNIT";"20000"
"369";"1153";"DEFAULT_UNIT";"20000"
"370";"1154";"1st Floor";"3550"
"371";"1155";"DEFAULT_UNIT";"8100"
"372";"1156";"DEFAULT_UNIT";"800"
"373";"1157";"DEFAULT_UNIT";"7000-15000"
"374";"0";"DEFAULT_UNIT";
"375";"1166";"DEFAULT_UNIT";"1361"
"376";"1167";"DEFAULT_UNIT";"1100"
"377";"1168";"DEFAULT_UNIT";"2666"
"378";"1169";"Office";"1821"
"379";"1169";"Residential";"1044"
"380";"1170";"DEFAULT_UNIT";"3546"
"381";"1171";"DEFAULT UNIT";"1800"
"382";"1172";"DEFAULT_UNIT";
"383";"1173";"DEFAULT_UNIT";"6400"
"385";"972";"Unit A1";"2058"
"386";"1174";"DEFAULT_UNIT";"5000"
"387";"1175";"DEFAULT_UNIT";"150000"
"388";"1176";"DEFAULT_UNIT";"1100"
"389";"1177";"DEFAULT_UNIT";"16000"
"390";"1178";"29 S. Broadway";"11328"
"391";"1178";"26 Simpson";"1776"
"392";"1179";"DEFAULT_UNIT";
"393";"1180";"DEFAULT_UNIT";
"394";"1181";"DEFAULT_UNIT";"1490"
"395";"1182";"DEFAULT_UNIT";"6000"
"396";"1183";"DEFAULT_UNIT";"2800"
"397";"1183";"DEFAULT_UNIT";"1400"
"398";"1184";"DEFAULT_UNIT";"9600"
"399";"1185";"DEFAULT_UNIT";"7500"
"400";"1186";"DEFAULT_UNIT";
"401";"1140";"DEFAULT_UNIT";"5000"
"402";"1188";"DEFAULT_UNIT";"10000"
"403";"1189";"DEFAULT_UNIT";"700-16300"
"404";"1190";"DEFAULT_UNIT";"13500"
"405";"1191";"DEFAULT_UNIT";
"407";"1126";"Suite 208";"2852"
"408";"1192";"DEFAULT_UNIT";"5000"
"409";"1193";"DEFAULT_UNIT";"9500"
"410";"1194";"DEFAULT_UNIT";"7000"
"411";"1195";"DEFAULT_UNIT";"1244-4308"
"412";"1196";"DEFAULT_UNIT";"1837"
"413";"1197";"DEFAULT_UNIT";"2844"
"414";"959";"405";"1570"
"415";"1198";"DEFAULT_UNIT";"2666"
"416";"1199";"DEFAULT_UNIT";"17500"
"417";"1200";"DEFAULT_UNIT";"4000"
